Coin Name,Open,Close,High,Low,Symbol,Time,Date
Cardano,0.660597,0.661078,0.662429,0.660597,ADA,4/5/2025 3:00,4/5/2025
Cardano,0.6613,0.659176,0.6613,0.659176,ADA,4/5/2025 3:30,4/5/2025
Cardano,0.658202,0.657463,0.658298,0.657463,ADA,4/5/2025 4:00,4/5/2025
Cardano,0.658021,0.658783,0.658783,0.657617,ADA,4/5/2025 4:30,4/5/2025
Cardano,0.65938,0.65702,0.65938,0.65702,ADA,4/5/2025 5:00,4/5/2025
Cardano,0.65637,0.657644,0.657676,0.655774,ADA,4/5/2025 5:30,4/5/2025
Cardano,0.658021,0.656946,0.658021,0.656946,ADA,4/5/2025 6:00,4/5/2025
Cardano,0.656805,0.657395,0.657395,0.656183,ADA,4/5/2025 6:30,4/5/2025
Cardano,0.657218,0.654383,0.657218,0.653799,ADA,4/5/2025 7:00,4/5/2025
Cardano,0.654719,0.654934,0.654934,0.653795,ADA,4/5/2025 7:30,4/5/2025
Cardano,0.656171,0.656835,0.657415,0.655831,ADA,4/5/2025 8:00,4/5/2025
Cardano,0.656686,0.655258,0.657294,0.655258,ADA,4/5/2025 8:30,4/5/2025
Cardano,0.655658,0.657291,0.657291,0.655583,ADA,4/5/2025 9:00,4/5/2025
Cardano,0.658017,0.660944,0.661365,0.658017,ADA,4/5/2025 9:30,4/5/2025
Cardano,0.661446,0.662211,0.662211,0.661373,ADA,4/5/2025 10:00,4/5/2025
Cardano,0.662069,0.66221,0.662964,0.662069,ADA,4/5/2025 10:30,4/5/2025
Cardano,0.662488,0.6616,0.662784,0.661021,ADA,4/5/2025 11:00,4/5/2025
Cardano,0.661246,0.661368,0.661368,0.660161,ADA,4/5/2025 11:30,4/5/2025
Cardano,0.660874,0.660696,0.66112,0.66014,ADA,4/5/2025 12:00,4/5/2025
Cardano,0.660858,0.660096,0.660911,0.660096,ADA,4/5/2025 12:30,4/5/2025
Cardano,0.660038,0.656485,0.660038,0.656089,ADA,4/5/2025 13:00,4/5/2025
Cardano,0.656734,0.650354,0.656743,0.650354,ADA,4/5/2025 13:30,4/5/2025
Cardano,0.651789,0.648863,0.651789,0.648062,ADA,4/5/2025 14:00,4/5/2025
Cardano,0.649316,0.652203,0.652203,0.649316,ADA,4/5/2025 14:30,4/5/2025
Cardano,0.652326,0.653609,0.653609,0.652089,ADA,4/5/2025 15:00,4/5/2025
Cardano,0.6524,0.648935,0.6524,0.648252,ADA,4/5/2025 15:30,4/5/2025
Cardano,0.648067,0.646945,0.648067,0.646239,ADA,4/5/2025 16:00,4/5/2025
Cardano,0.647744,0.646969,0.648302,0.646969,ADA,4/5/2025 16:30,4/5/2025
Cardano,0.648322,0.647742,0.649304,0.647742,ADA,4/5/2025 17:00,4/5/2025
Cardano,0.648816,0.65085,0.65085,0.647676,ADA,4/5/2025 17:30,4/5/2025
Cardano,0.651152,0.650688,0.651285,0.650688,ADA,4/5/2025 18:00,4/5/2025
Cardano,0.650009,0.651499,0.652582,0.650009,ADA,4/5/2025 18:30,4/5/2025
Cardano,0.65121,0.652228,0.652228,0.650872,ADA,4/5/2025 19:00,4/5/2025
Cardano,0.651915,0.650431,0.652223,0.650431,ADA,4/5/2025 19:30,4/5/2025
Cardano,0.649482,0.646988,0.649482,0.646829,ADA,4/5/2025 20:00,4/5/2025
Cardano,0.64676,0.648593,0.648593,0.64676,ADA,4/5/2025 20:30,4/5/2025
Cardano,0.648759,0.647911,0.648759,0.646928,ADA,4/5/2025 21:00,4/5/2025
Cardano,0.64771,0.649118,0.649118,0.64771,ADA,4/5/2025 21:30,4/5/2025
Cardano,0.649747,0.64775,0.649747,0.64775,ADA,4/5/2025 22:00,4/5/2025
Cardano,0.64738,0.648669,0.649697,0.64738,ADA,4/5/2025 22:30,4/5/2025
Cardano,0.648334,0.651943,0.651943,0.648334,ADA,4/5/2025 23:00,4/5/2025
Dogecoin,0.172072,0.170819,0.172072,0.170819,DOGE,4/4/2025 23:30,4/4/2025
Dogecoin,0.170698,0.171056,0.171056,0.1706,DOGE,4/5/2025 0:00,4/5/2025
